2026-05-17 00:09:09 | parser_agent         | INFO     | 18 işlem Qdrant'a kaydedildi
2026-05-17 00:09:09 | workflow             | INFO     | Analyst Agent başladı
2026-05-17 00:09:09 | analyst_agent        | INFO     | Kategorilendirme başladı
2026-05-17 00:09:09 | analyst_agent        | INFO     | Enflasyon analizi başladı
2026-05-17 00:09:09 | analyst_agent        | INFO     | Vergi X-Ray hesaplanıyor
2026-05-17 00:09:09 | analyst_agent        | INFO     | Anomali tespiti başladı
2026-05-17 00:09:09 | analyst_agent        | INFO     | Abonelik tespiti başladı
2026-05-17 00:09:09 | workflow             | INFO     | Normal akış — Advisory'e geçiliyor
2026-05-17 00:09:09 | workflow             | INFO     | Advisory Agent başladı
2026-05-17 00:09:09 | advisory_agent       | INFO     | Piyasa bağlamı çekiliyor
2026-05-17 00:09:09 | context_fetcher      | INFO     | Piyasa verileri çekiliyor
2026-05-17 00:09:10 | context_fetcher      | INFO     | Döviz kurları alındı: ['USD', 'EUR', 'GBP', 'CHF', 'tarih']
2026-05-17 00:09:10 | context_fetcher      | WARNING  | NEWS_API_KEY bulunamadı, fallback haberler kullanılıyor
2026-05-17 00:09:10 | context_fetcher      | INFO     | USD/TL: 45.4695
2026-05-17 00:09:10 | context_fetcher      | INFO     | Yıllık TÜFE: %38.1
2026-05-17 00:09:10 | advisory_agent       | INFO     | Döviz kalkanı hesaplanıyor
2026-05-17 00:09:10 | advisory_agent       | INFO     | Proaktif uyarılar üretiliyor
2026-05-17 00:09:10 | advisory_agent       | INFO     | Gemini yanıtı üretiliyor
2026-05-17 00:09:22 | health_score         | INFO     | Finansal sağlık skoru: 66/100 — Orta
2026-05-17 00:09:22 | api                  | INFO     | Analiz tamamlandı — session: d251d3a4
2026-05-17 00:10:13 | api                  | INFO     | Sorgu: 10000 tl'ye ihtiyacım var bu hedefe ulaşmak için n — session: d251d3a4
2026-05-17 00:10:13 | context_fetcher      | INFO     | Piyasa verileri çekiliyor
2026-05-17 00:10:15 | context_fetcher      | INFO     | Döviz kurları alındı: ['USD', 'EUR', 'GBP', 'CHF', 'tarih']
2026-05-17 00:10:15 | context_fetcher      | WARNING  | NEWS_API_KEY bulunamadı, fallback haberler kullanılıyor
2026-05-17 00:10:15 | context_fetcher      | INFO     | USD/TL: 45.4695
2026-05-17 00:10:15 | context_fetcher      | INFO     | Yıllık TÜFE: %38.1
